title,Average rating
Secrets & Lies (1996),4.833333333333333
"Trial, The (Procès, Le) (1962)",4.833333333333333
All Quiet on the Western Front (1930),4.833333333333333
"Three Billboards Outside Ebbing, Missouri (2017)",4.785714285714286
Sherlock - A Study in Pink (2010),4.75
Paperman (2012),4.75
Love Me If You Dare (Jeux d'enfants) (2003),4.75
Black Mirror: White Christmas (2014),4.75
Funny Games U.S. (2007),4.75
I Origins (2014),4.75
"Doctor Who: The Doctor, the Widow and the Wardrobe (2011)",4.75
"Girl Who Played with Fire, The (Flickan som lekte med elden) (2009)",4.75
Dangerous Beauty (1998),4.75
Repulsion (1965),4.75
Open Your Eyes (Abre los ojos) (1997),4.75
Chungking Express (Chung Hing sam lam) (1994),4.75
Doctor Who: The Time of the Doctor (2013),4.75
The Pacific (2010),4.75
"Harder They Come, The (1973)",4.75
The Salt of the Earth (2014),4.75
Lantana (2001),4.75
Doctor Who: Voyage Of The Damned (2007),4.75
The Artist (2011),4.666666666666667
"Long Goodbye, The (1973)",4.666666666666667
Memories of Murder (Salinui chueok) (2003),4.666666666666667
Paris Is Burning (1990),4.666666666666667
Lifeboat (1944),4.666666666666667
Reign Over Me (2007),4.666666666666667
"Day of the Doctor, The (2013)",4.666666666666667
Touch of Evil (1958),4.642857142857143
Five Easy Pieces (1970),4.625
Sophie's Choice (1982),4.625
Infernal Affairs (Mou gaan dou) (2002),4.625
"Last Picture Show, The (1971)",4.6
Paths of Glory (1957),4.583333333333333
No Man's Land (2001),4.583333333333333
Bicycle Thieves (a.k.a. The Bicycle Thief) (a.k.a. The Bicycle Thieves) (Ladri di biciclette) (1948),4.571428571428571
Ran (1985),4.5625
Grave of the Fireflies (Hotaru no haka) (1988),4.5625
"Philadelphia Story, The (1940)",4.5625
"Nut Job, The (2014)",4.5
Man Bites Dog (C'est arrivé près de chez vous) (1992),4.5
Dead Meat (2004),4.5
"7th Voyage of Sinbad, The (1958)",4.5
Tom Segura: Disgraceful (2018),4.5
Lemonade (2016),4.5
"Crime of Father Amaro, The (Crimen del padre Amaro, El) (2002)",4.5
Inhuman Resources (Redd Inc.) (2012),4.5
The Road Within (2014),4.5
"Last Waltz, The (1978)",4.5
"Palm Beach Story, The (1942)",4.5
Dead Man's Shoes (2004),4.5
Partly Cloudy (2009),4.5
Welcome to Me (2014),4.5
Nobody Knows (Dare mo shiranai) (2004),4.5
The Thief (1997),4.5
A Pigeon Sat on a Branch Reflecting on Existence (2014),4.5
"One, Two, Three (1961)",4.5
It Can't Be! (1975),4.5
The Adventures of Sherlock Holmes and Doctor Watson: The Hunt for the Tiger (1980),4.5
Ice Guardians (2016),4.5
Perfect Sense (2011),4.5
The Brain (1969),4.5
Victor Frankenstein (2015),4.5
Ken Park (2002),4.5
Afterglow (1997),4.5
Secrets of a Soul (Geheimnisse einer Seele) (1926),4.5
I Served the King of England (Obsluhoval jsem anglického krále) (2006),4.5
Tangerines (2013),4.5
"Internet's Own Boy: The Story of Aaron Swartz, The (2014)",4.5
"Last Starfighter, The (1984)",4.5
Woman in the Dunes (Suna no onna) (1964),4.5
Enemy Mine (1985),4.5
Baby Driver (2017),4.5
Salvador (1986),4.5
Logan Lucky (2017),4.5
"Human Condition I, The (Ningen no joken I) (1959)",4.5
Beautiful Thing (1996),4.5
Madly in Love (1981),4.5
"Bone Man, The (Der Knochenmann) (2009)",4.5
The Magic Ring (1982),4.5
Bill Burr: You People Are All the Same (2012),4.5
"Ten, The (2007)",4.5
Hands Over the City (Le mani sulla città) (1963),4.5
"Legend of 1900, The (a.k.a. The Legend of the Pianist on the Ocean) (Leggenda del pianista sull'oceano) (1998)",4.5
"Yesterday, Today and Tomorrow (Ieri, oggi, domani) (1963)",4.5
Shaft (1971),4.5
"Stoning of Soraya M., The (2008)",4.5
Tangerine (2015),4.5
Little Women (1933),4.5
Carnival of Souls (1962),4.5
American: The Bill Hicks Story (2009),4.5
Violet & Daisy (2011),4.5
Three Men and a Cradle (3 hommes et un couffin) (1985),4.5
Patton Oswalt: My Weakness Is Strong (2009),4.5
"Man for All Seasons, A (1966)",4.5
Master of the Flying Guillotine (Du bi quan wang da po xue di zi) (1975),4.5
Chapayev (1934),4.5
Jim Jefferies: I Swear to God (2009),4.5
Bone Tomahawk (2015),4.5
Indochine (1992),4.5
Don't Look Now: We're Being Shot At (La grande vadrouille) (1966),4.5
Kizumonogatari III: Cold Blood (2017),4.5
Home (2009),4.5
Man on the Flying Trapeze (1935),4.5
Red Beard (Akahige) (1965),4.5
"Captain Newman, M.D. (1963)",4.5
Rough Night (2017),4.5
Doctor Who: Planet of the Dead (2009),4.5
"Power of Nightmares, The: The Rise of the Politics of Fear (2004)",4.5
Texas - Doc Snyder hält die Welt in Atem (1993),4.5
"Emperor's New Groove 2: Kronk's New Groove, The (2005)",4.5
Herbie: Fully Loaded (2005),4.5
Cornered! (2009),4.5
Cold Fish (Tsumetai nettaigyo) (2010),4.5
All About Eve (1950),4.5
Fans (1999),4.5
Carry on Cabby (1963),4.5
"Dana Carvey: Straight White Male, 60 (2016)",4.5
12 Chairs (1971),4.5
Arizona Dream (1993),4.5
The Natural Love (1996),4.5
Between Your Legs (Entre las piernas) (1999),4.5
Tomorrow (2015),4.5
Hit the Bank (Vabank) (1981),4.5
Journey to the West: Conquering the Demons (Daai wa sai you chi Chui mo chun kei) (2013),4.5
"Safety of Objects, The (2001)",4.5
Taken 3 (2015),4.5
"The Night Is Short, Walk on Girl (2017)",4.5
Away from Her (2006),4.5
Applesauce (2015),4.5
Crows Zero (Kurôzu zero) (2007),4.5
Car Wash (1976),4.5
00 Schneider - Jagd auf Nihil Baxter (1994),4.5
Tales from the Darkside: The Movie (1990),4.5
"Clonus Horror, The (1979)",4.5
"Visitor, The (2007)",4.5
"Streetcar Named Desire, A (1951)",4.5
Chris Rock: Bigger & Blacker (1999),4.5
Temple Grandin (2010),4.5
Tape (2001),4.5
Doctor Who: A Christmas Carol (2010),4.5
"Descendants, The (2011)",4.5
Experimenter (2015),4.5
"Cove, The (2009)",4.5
"Idiots, The (Idioterne) (1998)",4.5
Losing Isaiah (1995),4.5
Hedgehog in the Fog (1975),4.5
Slow West (2015),4.5
Only Old Men Are Going to Battle (V boy idut odni stariki) (1973),4.5
To Grandmother's House We Go (1992),4.5
Ivan Vasilievich: Back to the Future (Ivan Vasilievich menyaet professiyu) (1973),4.5
Too Funny to Fail: The Life and Death of The Dana Carvey Show (2017),4.5
Doctor Who: The Next Doctor (2008),4.5
Brother 2 (Brat 2) (2000),4.5
The Fool (2014),4.5
13th (2016),4.5
Intimate Strangers (Confidences trop intimes) (2004),4.5
How To Change The World (2015),4.5
"Last Unicorn, The (1982)",4.5
Chi-Raq (2015),4.5
"Chinese Ghost Story, A (Sinnui yauwan) (1987)",4.5
"Babadook, The (2014)",4.5
"Last Detail, The (1973)",4.5
ARQ (2016),4.5
Key Largo (1948),4.5
Like Stars on Earth (Taare Zameen Par) (2007),4.5
Captain Fantastic (2016),4.5
Balance (1989),4.5
"Now, Voyager (1942)",4.5
My Dinner with André (1981),4.5
Monsieur Verdoux (1947),4.5
Musa the Warrior (Musa) (2001),4.5
God Bless America (2011),4.5
From Up on Poppy Hill (Kokuriko-zaka kara) (2011),4.5
3-Iron (Bin-jip) (2004),4.5
Elections Day (2007),4.5
All or Nothing (2002),4.5
10th & Wolf (2006),4.5
Oliver! (1968),4.5
"Signal, The (2014)",4.5
Dr. Phibes Rises Again (1972),4.5
Wal-Mart: The High Cost of Low Price (2005),4.5
Ryuzo and the Seven Henchmen (2015),4.5
5 Centimeters per Second (Byôsoku 5 senchimêtoru) (2007),4.5
Miller's Crossing (1990),4.5
"Samouraï, Le (Godson, The) (1967)",4.5
That Sugar Film (2014),4.5
Seeking a Friend for the End of the World (2012),4.5
Barely Lethal (2015),4.5
Flirting (1991),4.5
Flickering Lights (Blinkende lygter) (2000),4.5
BURN-E (2008),4.5
Fubar (2002),4.5
Dying Young (1991),4.5
I Am a Fugitive from a Chain Gang (1932),4.5
Dead Snow (Død snø) (2009),4.5
Killer Movie (2008),4.5
"Kidnapping, Caucasian Style (Kavkazskaya plennitsa) (1967)",4.5
When a Woman Ascends the Stairs (Onna ga kaidan wo agaru toki) (1960),4.5
"Hidden Fortress, The (Kakushi-toride no san-akunin) (1958)",4.5
Presumed Innocent (1990),4.5
Phir Hera Pheri (2006),4.5
Piper (2016),4.5
"Sound of the Mountain (Thunder of the Mountain, The) (Yama no oto) (1954)",4.5
Girl Walks Into a Bar (2011),4.5
Shooting Fish (1997),4.5
Pillow Talk (1959),4.5
Act of Valor (2012),4.5
"Body Snatcher, The (1945)",4.5
This Property is Condemned (1966),4.5
It Happened on Fifth Avenue (1947),4.5
"Fast Food, Fast Women (2000)",4.5
Night and Fog (Nuit et brouillard) (1955),4.5
Heima (2007),4.5
All That Heaven Allows (1955),4.5
"Green Butchers, The (Grønne slagtere, De) (2003)",4.5
Jim & Andy: The Great Beyond (2017),4.5
"History of Future Folk, The (2012)",4.5
84 Charing Cross Road (1987),4.5
Comedy of the Strict Regime (1993),4.5
The Girl on the Train (2016),4.5
Bully (2001),4.5
Camp (2003),4.5
Enough (2002),4.5
"Family Guy Presents: Something, Something, Something, Dark Side (2009)",4.5
Lion (2016),4.5
"Tenant, The (Locataire, Le) (1976)",4.5
I Stand Alone (Seul contre tous) (1998),4.5
Luck by Chance (2009),4.5
Thief (1981),4.5
The Stanford Prison Experiment (2015),4.5
"Lady Vanishes, The (1938)",4.5
"Boss of It All, The (Direktøren for det hele) (2006)",4.5
Jason's Lyric (1994),4.5
Cinemania (2002),4.5
Louis C.K.: Live at the Beacon Theater (2011),4.5
"Return, The (Vozvrashcheniye) (2003)",4.5
Hands on a Hard Body (1996),4.5
High Sierra (1941),4.5
Da Sweet Blood of Jesus (2014),4.5
Doctor Who: The Waters of Mars (2009),4.5
Doctor Who: The Runaway Bride (2007),4.5
Maximum Ride (2016),4.5
Citizen Ruth (1996),4.5
Pixel Perfect (2004),4.5
"Band Wagon, The (1953)",4.5
O.J.: Made in America (2016),4.5
13 Assassins (Jûsan-nin no shikaku) (2010),4.5
Manufacturing Consent: Noam Chomsky and the Media (1992),4.5
"Ox-Bow Incident, The (1943)",4.5
Dark Blue World (Tmavomodrý svet) (2001),4.5
"Touch of Zen, A (Xia nu) (1971)",4.5
"All Dogs Christmas Carol, An (1998)",4.5
The Book of Life (2014),4.5
Tae Guk Gi: The Brotherhood of War (Taegukgi hwinalrimyeo) (2004),4.5
4 Little Girls (1997),4.5
Lammbock (2001),4.5
Couples Retreat (2009),4.5
Alpha (2018),4.5
Kevin Hart: I'm a Grown Little Man (2009),4.5
"Devil and Daniel Johnston, The (2005)",4.5
MirrorMask (2005),4.5
Casper Meets Wendy (1998),4.5
College Road Trip (2008),4.5
Doctor Who: Last Christmas (2014),4.5
"Public Enemy, The (1931)",4.5
"Leopard, The (Gattopardo, Il) (1963)",4.5
The Founder (2016),4.5
The Taming of the Scoundrel (1980),4.5
Carnage (2011),4.5
Too Many Cooks (2014),4.5
Spriggan (Supurigan) (1998),4.5
"Short Film About Love, A (Krótki film o milosci) (1988)",4.5
Gentlemen of Fortune (Dzhentlmeny udachi) (1972),4.5
Broken (2012),4.5
Thesis (Tesis) (1996),4.5
Frozen River (2008),4.5
Central Station (Central do Brasil) (1998),4.5
Down and Out in Beverly Hills (1986),4.5
Burnt by the Sun (Utomlyonnye solntsem) (1994),4.5
Redline (2009),4.5
"Forbidden Kingdom, The (2008)",4.5
Gozu (Gokudô kyôfu dai-gekijô: Gozu) (2003),4.5
I Am a Sex Addict (2005),4.5
Massu Engira Maasilamani (2015),4.5
Doctor Who: The Husbands of River Song (2015),4.5
Red Lights (Feux rouges) (2004),4.5
Happy Go Lovely (1951),4.5
Garam Masala (2005),4.5
Frozen Planet (2011),4.5
My Best Friend's Girl (2008),4.5
On Any Sunday (1971),4.5
La Belle Verte (1996),4.5
Murder in the First (1995),4.5
3 Idiots (2009),4.5
Some Guy Who Kills People (2011),4.5
Klute (1971),4.5
My Life as a Dog (Mitt liv som hund) (1985),4.5
Kevin Smith: Too Fat For 40 (2010),4.5
Mamma Mia: Here We Go Again! (2018),4.5
Shadow World (2016),4.5
"Flowers of War, The (Jin líng shí san chai) (2011)",4.5
Rise of the Footsoldier (2007),4.5
The Lord's Lantern in Budapest (1999),4.5
"Short Film About Killing, A (Krótki film o zabijaniu) (1988)",4.5
Dogfight (1991),4.5
Johnny Express (2014),4.5
Assembly (Ji jie hao) (2007),4.5
Pride and Prejudice and Zombies (2016),4.5
Asterix & Obelix: Mission Cleopatra (Astérix & Obélix: Mission Cléopâtre) (2002),4.5
Thirst (Bakjwi) (2009),4.5
Born into Brothels (2004),4.5
Die Frauen von Ravensbrück (2005),4.5
That Munchhausen (1979),4.5
Hour of the Wolf (Vargtimmen) (1968),4.5
Giant (1956),4.5
Adventures of Mowgli: The Kidnapping (1968),4.5
Half Nelson (2006),4.5
Me and you (io e te) (2012),4.5
The Disaster Artist (2017),4.5
Nine Queens (Nueve reinas) (2000),4.5
Harakiri (Seppuku) (1962),4.5
"Big Bird Cage, The (1972)",4.5
Killer Joe (2011),4.5
Escape from Planet Earth (2013),4.5
Monday (2000),4.5
Joint Security Area (Gongdong gyeongbi guyeok JSA) (2000),4.5
Bill Burr: Let It Go (2010),4.5
"Spanish Apartment, The (L'auberge espagnole) (2002)",4.5
Riki-Oh: The Story of Ricky (Lik Wong) (1991),4.5
Elling (2001),4.5
"Scalphunters, The (1968)",4.5
Kagemusha (1980),4.5
War Dance (2007),4.5
"Thing, The (2011)",4.5
Ernest & Célestine (Ernest et Célestine) (2012),4.5
Neal Brennan: 3 Mics (2017),4.5
Fury (1936),4.5
The Man Who Killed Don Quixote (2018),4.5
Final Destination 5 (2011),4.5
Bill Burr: Why Do I Do This? (2008),4.5
Fiddler on the Roof (1971),4.5
Riding Giants (2004),4.5
Kwaidan (Kaidan) (1964),4.5
"Face in the Crowd, A (1957)",4.5
Evil Aliens (2005),4.5
Jim Jefferies: Fully Functional (EPIX) (2012),4.5
"Battle of Algiers, The (La battaglia di Algeri) (1966)",4.5
Days of Being Wild (A Fei jingjyuhn) (1990),4.5
"Last Kiss, The (2006)",4.5
13 Tzameti (2005),4.5
Maz Jobrani: Immigrant (2017),4.5
Jack-Jack Attack (2005),4.5
"Girl Who Kicked the Hornet's Nest, The (Luftslottet som sprängdes) (2009)",4.5
Saw VII 3D - The Final Chapter (2010),4.5
Hangar 18 (1980),4.5
Andrei Rublev (Andrey Rublyov) (1969),4.5
Lincoln (2012),4.5
Mud (2012),4.5
"Sex, Drugs & Taxation (2013)",4.5
Amazon Women on the Moon (1987),4.5
Taxi 3 (2003),4.5
Take Shelter (2011),4.5
Too Big to Fail (2011),4.5
"Time Masters (Maîtres du temps, Les) (1982)",4.5
Fist Fight (2017),4.5
Golmaal (2006),4.5
All the King's Men (1949),4.5
Bootleggers (1961),4.5
Splendor in the Grass (1961),4.5
Baarìa (2009),4.5
Jules and Jim (Jules et Jim) (1961),4.5
"Tale of Two Sisters, A (Janghwa, Hongryeon) (2003)",4.5
Nymphomaniac: Volume II (2013),4.5
Twelve O'Clock High (1949),4.5
Explorers (1985),4.5
Career Girls (1997),4.5
"Princess and the Warrior, The (Krieger und die Kaiserin, Der) (2000)",4.5
Jim Jefferies: Freedumb (2016),4.5
Gintama (2017),4.5
The Red Turtle (2016),4.5
